Original Reaction	Matched Reaction	Original Description	Matched Description	Swapped Compounds	
rxn37082	rxn21903	(1) H2O[0] + (1) Caffeine[0] + (1) Ubiquinone-8[0] => (1) 1,3,7-Trimethyluric acid[0] + (1) Ubiquinol-8[0]	(1) H2O[0] + (1) Caffeine[0] + (1) Ubiquinones[0] => (1) 1,3,7-Trimethyluric acid[0] + (1) Ubiquinols[0]	cpd15560:cpd28301;cpd15561:cpd28300	
rxn37082	rxn39881	(1) H2O[0] + (1) Caffeine[0] + (1) Ubiquinone-8[0] => (1) 1,3,7-Trimethyluric acid[0] + (1) Ubiquinol-8[0]	(1) H2O[0] + (1) Caffeine[0] + (1) Q[0] <=> (1) QH2[0] + (1) 1,3,7-Trimethyluric acid[0]	cpd15560:cpd11669;cpd15561:cpd11665	
rxn37084	rxn21903	(1) H2O[0] + (1) Caffeine[0] + (1) Ubidecarenone[0] => (1) 1,3,7-Trimethyluric acid[0] + (1) ubiquinol(10)[0]	(1) H2O[0] + (1) Caffeine[0] + (1) Ubiquinones[0] => (1) 1,3,7-Trimethyluric acid[0] + (1) Ubiquinols[0]	cpd08232:cpd28301;cpd25915:cpd28300	
rxn37084	rxn39881	(1) H2O[0] + (1) Caffeine[0] + (1) Ubidecarenone[0] => (1) 1,3,7-Trimethyluric acid[0] + (1) ubiquinol(10)[0]	(1) H2O[0] + (1) Caffeine[0] + (1) Q[0] <=> (1) QH2[0] + (1) 1,3,7-Trimethyluric acid[0]	cpd08232:cpd11669;cpd25915:cpd11665	
rxn37098	rxn22276	(1) NADPH[0] + (1) O2[0] + (1) 4-Nitrocatechol[0] <=> (1) H2O[0] + (1) NADP[0] + (1) Nitrite[0] + (1) Hydroxybenzoquinone[0]	(1) O2[0] + (1) 4-Nitrocatechol[0] + (1) NADH-P-OR-NOP[0] <=> (1) H2O[0] + (1) Nitrite[0] + (1) Hydroxybenzoquinone[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn37099	rxn22276	(1) NADH[0] + (1) O2[0] + (1) 4-Nitrocatechol[0] <=> (1) H2O[0] + (1) NAD[0] + (1) Nitrite[0] + (1) Hydroxybenzoquinone[0]	(1) O2[0] + (1) 4-Nitrocatechol[0] + (1) NADH-P-OR-NOP[0] <=> (1) H2O[0] + (1) Nitrite[0] + (1) Hydroxybenzoquinone[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn37100	rxn22288	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) 2,3-Dehydro-UWM6[0] => (2) H2O[0] + (1) NADP[0] + (1) 8-methyltetraphene-1,5,6,11,12-pentol[0]	(1) O2[0] + (1) H+[0] + (1) 2,3-Dehydro-UWM6[0] + (1) NADH-P-OR-NOP[0] => (2) H2O[0] + (1) 8-methyltetraphene-1,5,6,11,12-pentol[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn37101	rxn22288	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) 2,3-Dehydro-UWM6[0] => (2) H2O[0] + (1) NAD[0] + (1) 8-methyltetraphene-1,5,6,11,12-pentol[0]	(1) O2[0] + (1) H+[0] + (1) 2,3-Dehydro-UWM6[0] + (1) NADH-P-OR-NOP[0] => (2) H2O[0] + (1) 8-methyltetraphene-1,5,6,11,12-pentol[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn37103	rxn22391	(1) NADH[0] + (1) H+[0] + (1) 2,5-diketo-D-gluconate[0] <=> (1) NAD[0] + (1) L-Sorbosonate[0]	(1) H+[0] + (1) 2,5-diketo-D-gluconate[0] + (1) NADH-P-OR-NOP[0] <=> (1) L-Sorbosonate[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn37117	rxn46170	(1) O2[0] + (1) Methane[0] + (1) Ubiquinol-8[0] => (1) H2O[0] + (1) Methanol[0] + (1) Ubiquinone-8[0]	(1) O2[0] + (1) Methane[0] + (1) ETR-Quinols[0] <=> (1) H2O[0] + (1) Methanol[0] + (1) ETR-Quinones[0]	cpd15561:cpd27011;cpd15560:cpd27012	
rxn37119	rxn46170	(1) O2[0] + (1) Methane[0] + (1) ubiquinol(10)[0] => (1) H2O[0] + (1) Methanol[0] + (1) Ubidecarenone[0]	(1) O2[0] + (1) Methane[0] + (1) ETR-Quinols[0] <=> (1) H2O[0] + (1) Methanol[0] + (1) ETR-Quinones[0]	cpd25915:cpd27011;cpd08232:cpd27012	
rxn37130	rxn22652	(1) 9,9'-Di-cis-zeta-carotene[0] + (2) Ubiquinone-8[0] <=> (1) 7,9,7',9'-Tetra-cis-lycopene[0] + (2) Ubiquinol-8[0]	(1) 9,9'-Di-cis-zeta-carotene[0] + (2) ETR-Quinones[0] <=> (1) 7,9,7',9'-Tetra-cis-lycopene[0] + (2) ETR-Quinols[0]	cpd15560:cpd27012;cpd15561:cpd27011	
rxn37132	rxn22652	(2) Ubidecarenone[0] + (1) 9,9'-Di-cis-zeta-carotene[0] <=> (1) 7,9,7',9'-Tetra-cis-lycopene[0] + (2) ubiquinol(10)[0]	(1) 9,9'-Di-cis-zeta-carotene[0] + (2) ETR-Quinones[0] <=> (1) 7,9,7',9'-Tetra-cis-lycopene[0] + (2) ETR-Quinols[0]	cpd08232:cpd27012;cpd25915:cpd27011	
rxn37152	rxn22725	(1) NADP[0] + (1) 3alpha-androstanediol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Androstanolone[0]	(1) 3alpha-androstanediol[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) Androstanolone[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn37153	rxn22725	(1) NAD[0] + (1) 3alpha-androstanediol[0] <=> (1) NADH[0] + (1) H+[0] + (1) Androstanolone[0]	(1) 3alpha-androstanediol[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) Androstanolone[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn37154	rxn16346	(1) O2[0] + (2) Ubiquinol-8[0] => (2) H2O[0] + (2) Ubiquinone-8[0]	(1) O2[0] + (2) QH2[0] => (2) H2O[0] + (2) Q[0]	cpd15561:cpd11665;cpd15560:cpd11669	
rxn37154	rxn22798	(1) O2[0] + (2) Ubiquinol-8[0] => (2) H2O[0] + (2) Ubiquinone-8[0]	(1) O2[0] + (2) Ubiquinols[0] => (2) H2O[0] + (2) Ubiquinones[0]	cpd15561:cpd28300;cpd15560:cpd28301	
rxn37156	rxn16346	(1) O2[0] + (2) ubiquinol(10)[0] => (2) H2O[0] + (2) Ubidecarenone[0]	(1) O2[0] + (2) QH2[0] => (2) H2O[0] + (2) Q[0]	cpd25915:cpd11665;cpd08232:cpd11669	
rxn37156	rxn22798	(1) O2[0] + (2) ubiquinol(10)[0] => (2) H2O[0] + (2) Ubidecarenone[0]	(1) O2[0] + (2) Ubiquinols[0] => (2) H2O[0] + (2) Ubiquinones[0]	cpd25915:cpd28300;cpd08232:cpd28301	
rxn37161	rxn22871	(1) NAD[0] + (1) dTDP-4-oxo-2,6-dideoxy-alpha-D-glucose[0] <=> (1) NADH[0] + (1) H+[0] + (1) dTDP 1-ester with (6R)-5,6-dihydro-4-hydroxy-6-methyl-5-oxo-2H-pyran[0]	(1) dTDP-4-oxo-2,6-dideoxy-alpha-D-glucose[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) dTDP 1-ester with (6R)-5,6-dihydro-4-hydroxy-6-methyl-5-oxo-2H-pyran[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn37162	rxn23006	(1) NADP[0] + (1) CoA[0] + (1) hexanal[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Hexanoyl-CoA[0]	(1) CoA[0] + (1) hexanal[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) Hexanoyl-CoA[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn37163	rxn23006	(1) NAD[0] + (1) CoA[0] + (1) hexanal[0] <=> (1) NADH[0] + (1) H+[0] + (1) Hexanoyl-CoA[0]	(1) CoA[0] + (1) hexanal[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) Hexanoyl-CoA[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn37164	rxn23026	(1) NADPH[0] + (1) H+[0] + (1) 4-Hydroxybutyryl-CoA[0] <=> (1) NADP[0] + (1) CoA[0] + (1) 4-hydroxybutanal[0]	(1) H+[0] + (1) 4-Hydroxybutyryl-CoA[0] + (1) NADH-P-OR-NOP[0] <=> (1) CoA[0] + (1) 4-hydroxybutanal[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn37165	rxn23026	(1) NADH[0] + (1) H+[0] + (1) 4-Hydroxybutyryl-CoA[0] <=> (1) NAD[0] + (1) CoA[0] + (1) 4-hydroxybutanal[0]	(1) H+[0] + (1) 4-Hydroxybutyryl-CoA[0] + (1) NADH-P-OR-NOP[0] <=> (1) CoA[0] + (1) 4-hydroxybutanal[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn37166	rxn23029	(1) NADPH[0] + (1) H+[0] + (1) 4-hydroxybutanal[0] <=> (1) NADP[0] + (1) 1,4 butylene glycol[0]	(1) H+[0] + (1) 4-hydroxybutanal[0] + (1) NADH-P-OR-NOP[0] <=> (1) 1,4 butylene glycol[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn37167	rxn23029	(1) NADH[0] + (1) H+[0] + (1) 4-hydroxybutanal[0] <=> (1) NAD[0] + (1) 1,4 butylene glycol[0]	(1) H+[0] + (1) 4-hydroxybutanal[0] + (1) NADH-P-OR-NOP[0] <=> (1) 1,4 butylene glycol[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn37170	rxn23261	(1) NADP[0] + (1) dTDP-4-dehydro-2,6-dideoxy-alpha-D-allose[0] <=> (1) NADPH[0] + (1) H+[0] + (1) dTDP 1-ester with (6R)-5,6-dihydro-4-hydroxy-6-methyl-5-oxo-2H-pyran[0]	(1) dTDP-4-dehydro-2,6-dideoxy-alpha-D-allose[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) dTDP 1-ester with (6R)-5,6-dihydro-4-hydroxy-6-methyl-5-oxo-2H-pyran[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn37171	rxn23261	(1) NAD[0] + (1) dTDP-4-dehydro-2,6-dideoxy-alpha-D-allose[0] <=> (1) NADH[0] + (1) H+[0] + (1) dTDP 1-ester with (6R)-5,6-dihydro-4-hydroxy-6-methyl-5-oxo-2H-pyran[0]	(1) dTDP-4-dehydro-2,6-dideoxy-alpha-D-allose[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) dTDP 1-ester with (6R)-5,6-dihydro-4-hydroxy-6-methyl-5-oxo-2H-pyran[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn37172	rxn23270	(1) NADP[0] + (1) Fenchyl alcohol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) D-fenchone[0]	(1) Fenchyl alcohol[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) D-fenchone[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn37173	rxn23270	(1) NAD[0] + (1) Fenchyl alcohol[0] <=> (1) NADH[0] + (1) H+[0] + (1) D-fenchone[0]	(1) Fenchyl alcohol[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) D-fenchone[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn37174	rxn23338	(1) NADPH[0] + (1) H+[0] + (1) 5-keto-4-deoxyuronate[0] <=> (1) NADP[0] + (1) 2-keto-3-deoxygluconate[0]	(1) H+[0] + (1) 5-keto-4-deoxyuronate[0] + (1) NADH-P-OR-NOP[0] <=> (1) 2-keto-3-deoxygluconate[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn37175	rxn23338	(1) NADH[0] + (1) H+[0] + (1) 5-keto-4-deoxyuronate[0] <=> (1) NAD[0] + (1) 2-keto-3-deoxygluconate[0]	(1) H+[0] + (1) 5-keto-4-deoxyuronate[0] + (1) NADH-P-OR-NOP[0] <=> (1) 2-keto-3-deoxygluconate[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn37176	rxn23357	(2) NADP[0] + (1) 3,3'-bipyridine-2,2',5,5',6,6'-hexol[0] <=> (2) NADPH[0] + (2) H+[0] + (1) Blue pigment[0]	(1) 3,3'-bipyridine-2,2',5,5',6,6'-hexol[0] + (2) NAD-P-OR-NOP[0] => (2) H+[0] + (1) Blue pigment[0] + (2) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn37177	rxn23357	(2) NAD[0] + (1) 3,3'-bipyridine-2,2',5,5',6,6'-hexol[0] <=> (2) NADH[0] + (2) H+[0] + (1) Blue pigment[0]	(1) 3,3'-bipyridine-2,2',5,5',6,6'-hexol[0] + (2) NAD-P-OR-NOP[0] => (2) H+[0] + (1) Blue pigment[0] + (2) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn37178	rxn23388	(1) NADP[0] + (1) furfuryl alcohol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Furfural[0]	(1) furfuryl alcohol[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) Furfural[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn37179	rxn23391	(1) NADPH[0] + (1) H+[0] + (1) CDP-D-xylulose[0] <=> (1) NADP[0] + (1) CDP-D-arabinitol[0]	(1) H+[0] + (1) CDP-D-xylulose[0] + (1) NADH-P-OR-NOP[0] <=> (1) CDP-D-arabinitol[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn37180	rxn23391	(1) NADH[0] + (1) H+[0] + (1) CDP-D-xylulose[0] <=> (1) NAD[0] + (1) CDP-D-arabinitol[0]	(1) H+[0] + (1) CDP-D-xylulose[0] + (1) NADH-P-OR-NOP[0] <=> (1) CDP-D-arabinitol[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn37181	rxn23399	(1) NADP[0] + (1) 2-Deoxy-scyllo-inosamine[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 2-Deoxy-3-keto-scyllo-inosamine[0]	(1) 2-Deoxy-scyllo-inosamine[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) 2-Deoxy-3-keto-scyllo-inosamine[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn37182	rxn23431	(1) NADH[0] + (2) Farnesyldiphosphate[0] => (1) NAD[0] + (2) PPi[0] + (1) H+[0] + (1) Supraene[0]	(2) Farnesyldiphosphate[0] + (1) NADH-P-OR-NOP[0] => (2) PPi[0] + (1) H+[0] + (1) Supraene[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn37184	rxn23451	(3) NADPH[0] + (3) O2[0] + (2) H+[0] + (1) 4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol[0] => (4) H2O[0] + (3) NADP[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate[0]	(3) O2[0] + (2) H+[0] + (1) 4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol[0] + (3) NADH-P-OR-NOP[0] => (4) H2O[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate[0] + (3) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn37185	rxn23451	(3) NADH[0] + (3) O2[0] + (2) H+[0] + (1) 4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol[0] => (4) H2O[0] + (3) NAD[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate[0]	(3) O2[0] + (2) H+[0] + (1) 4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol[0] + (3) NADH-P-OR-NOP[0] => (4) H2O[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate[0] + (3) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn37186	rxn23458	(2) NADPH[0] + (2) O2[0] + (2) H+[0] + (1) Zeaxanthin[0] => (2) H2O[0] + (2) NADP[0] + (1) Violaxanthin[0]	(2) O2[0] + (2) H+[0] + (1) Zeaxanthin[0] + (2) NADH-P-OR-NOP[0] => (2) H2O[0] + (1) Violaxanthin[0] + (2) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn37187	rxn23458	(2) NADH[0] + (2) O2[0] + (2) H+[0] + (1) Zeaxanthin[0] => (2) H2O[0] + (2) NAD[0] + (1) Violaxanthin[0]	(2) O2[0] + (2) H+[0] + (1) Zeaxanthin[0] + (2) NADH-P-OR-NOP[0] => (2) H2O[0] + (1) Violaxanthin[0] + (2) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn37236	rxn23813	(1) NAD[0] + (1) 5,10-Methylenetetrahydromethanopterin[0] <=> (1) NADH[0] + (1) 5,10-Methenyltetrahydromethanopterin[0]	(1) 5,10-Methylenetetrahydromethanopterin[0] + (1) NAD-P-OR-NOP[0] <=> (1) 5,10-Methenyltetrahydromethanopterin[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn37238	rxn23914	(2) NADPH[0] + (1) Cycloartenol[0] => (2) NADP[0] + (1) 24(25)-dihydrocycloartenol[0]	(1) Cycloartenol[0] + (2) NADH-P-OR-NOP[0] => (1) 24(25)-dihydrocycloartenol[0] + (2) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn37239	rxn23914	(2) NADH[0] + (1) Cycloartenol[0] => (2) NAD[0] + (1) 24(25)-dihydrocycloartenol[0]	(1) Cycloartenol[0] + (2) NADH-P-OR-NOP[0] => (1) 24(25)-dihydrocycloartenol[0] + (2) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn37261	rxn24126	(1) H2O[0] + (1) NADP[0] + (1) D,L-malic semialdehyde[0] <=> (1) NADPH[0] + (2) H+[0] + (1) L-Malate[0]	(1) H2O[0] + (1) D,L-malic semialdehyde[0] + (1) NAD-P-OR-NOP[0] => (2) H+[0] + (1) L-Malate[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn37262	rxn24126	(1) H2O[0] + (1) NAD[0] + (1) D,L-malic semialdehyde[0] <=> (1) NADH[0] + (2) H+[0] + (1) L-Malate[0]	(1) H2O[0] + (1) D,L-malic semialdehyde[0] + (1) NAD-P-OR-NOP[0] => (2) H+[0] + (1) L-Malate[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn37271	rxn24186	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) indol[0] => (1) H2O[0] + (1) NAD[0] + (1) Indolin-2-one[0]	(1) O2[0] + (1) H+[0] + (1) indol[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) Indolin-2-one[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn37272	rxn24188	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) Indolin-2-one[0] => (1) H2O[0] + (1) NAD[0] + (1) Dioxindole[0]	(1) O2[0] + (1) H+[0] + (1) Indolin-2-one[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) Dioxindole[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn37273	rxn24190	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) Dioxindole[0] => (1) H2O[0] + (1) NAD[0] + (1) HBOA[0]	(1) O2[0] + (1) H+[0] + (1) Dioxindole[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) HBOA[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn37274	rxn24192	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) HBOA[0] => (1) H2O[0] + (1) NAD[0] + (1) DIBOA[0]	(1) O2[0] + (1) H+[0] + (1) HBOA[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) DIBOA[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn37347	rxn24627	(1) ATP[0] + (1) NADPH[0] + (1) H+[0] + (1) 2,4-substituted-furan phosphate[0] <=> (1) NADP[0] + (1) ADP[0] + (1) Phosphate[0] + (1) 2-furaldehyde phosphate[0]	(1) ATP[0] + (1) H+[0] + (1) 2,4-substituted-furan phosphate[0] + (1) NADH-P-OR-NOP[0] <=> (1) ADP[0] + (1) Phosphate[0] + (1) 2-furaldehyde phosphate[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn37348	rxn24627	(1) ATP[0] + (1) NADH[0] + (1) H+[0] + (1) 2,4-substituted-furan phosphate[0] <=> (1) NAD[0] + (1) ADP[0] + (1) Phosphate[0] + (1) 2-furaldehyde phosphate[0]	(1) ATP[0] + (1) H+[0] + (1) 2,4-substituted-furan phosphate[0] + (1) NADH-P-OR-NOP[0] <=> (1) ADP[0] + (1) Phosphate[0] + (1) 2-furaldehyde phosphate[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn37361	rxn25087	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Tryptamine[0] => (1) H2O[0] + (1) NADP[0] + (1) Serotonin[0]	(1) O2[0] + (1) H+[0] + (1) Tryptamine[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) Serotonin[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn37362	rxn25087	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) Tryptamine[0] => (1) H2O[0] + (1) NAD[0] + (1) Serotonin[0]	(1) O2[0] + (1) H+[0] + (1) Tryptamine[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) Serotonin[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn37365	rxn25117	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) PNP[0] <=> (1) H2O[0] + (1) NAD[0] + (1) Nitrite[0] + (1) Chinone[0]	(1) O2[0] + (1) H+[0] + (1) PNP[0] + (1) NADH-P-OR-NOP[0] <=> (1) H2O[0] + (1) Nitrite[0] + (1) Chinone[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn37372	rxn25138	(1) H2O[0] + (1) NAD[0] + (1) 2,5-Dioxopentanoate[0] <=> (1) NADH[0] + (1) 2-Oxoglutarate[0] + (2) H+[0]	(1) H2O[0] + (1) 2,5-Dioxopentanoate[0] + (1) NAD-P-OR-NOP[0] => (1) 2-Oxoglutarate[0] + (2) H+[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn37373	rxn25193	(1) NADPH[0] + (1) H+[0] + (1) o-Hydroxylaminobenzoate[0] => (1) H2O[0] + (1) NADP[0] + (1) Anthranilate[0]	(1) H+[0] + (1) o-Hydroxylaminobenzoate[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) Anthranilate[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn37374	rxn25193	(1) NADH[0] + (1) H+[0] + (1) o-Hydroxylaminobenzoate[0] => (1) H2O[0] + (1) NAD[0] + (1) Anthranilate[0]	(1) H+[0] + (1) o-Hydroxylaminobenzoate[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) Anthranilate[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn37378	rxn25246	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) GIPA[0] => (1) H2O[0] + (1) NADP[0] + (1) GALO[0]	(1) O2[0] + (1) H+[0] + (1) GIPA[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) GALO[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
rxn37379	rxn25246	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) GIPA[0] => (1) H2O[0] + (1) NAD[0] + (1) GALO[0]	(1) O2[0] + (1) H+[0] + (1) GIPA[0] + (1) NADH-P-OR-NOP[0] => (1) H2O[0] + (1) GALO[0] + (1) NAD-P-OR-NOP[0]	cpd00004:cpd27640;cpd00003:cpd27638	
rxn37380	rxn25250	(1) NADP[0] + (1) L-2-aminopropan-1-ol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) L-2-aminopropionaldehyde[0]	(1) L-2-aminopropan-1-ol[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) L-2-aminopropionaldehyde[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn37381	rxn25250	(1) NAD[0] + (1) L-2-aminopropan-1-ol[0] <=> (1) NADH[0] + (1) H+[0] + (1) L-2-aminopropionaldehyde[0]	(1) L-2-aminopropan-1-ol[0] + (1) NAD-P-OR-NOP[0] <=> (1) H+[0] + (1) L-2-aminopropionaldehyde[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn37382	rxn25254	(1) H2O[0] + (1) NADP[0] + (1) L-2-aminopropionaldehyde[0] <=> (1) NADPH[0] + (1) L-Alanine[0] + (2) H+[0]	(1) H2O[0] + (1) L-2-aminopropionaldehyde[0] + (1) NAD-P-OR-NOP[0] => (1) L-Alanine[0] + (2) H+[0] + (1) NADH-P-OR-NOP[0]	cpd00006:cpd27638;cpd00005:cpd27640	
rxn37383	rxn25254	(1) H2O[0] + (1) NAD[0] + (1) L-2-aminopropionaldehyde[0] <=> (1) NADH[0] + (1) L-Alanine[0] + (2) H+[0]	(1) H2O[0] + (1) L-2-aminopropionaldehyde[0] + (1) NAD-P-OR-NOP[0] => (1) L-Alanine[0] + (2) H+[0] + (1) NADH-P-OR-NOP[0]	cpd00003:cpd27638;cpd00004:cpd27640	
rxn37384	rxn25265	(1) NADPH[0] + (1) H+[0] + (1) GDP-4-dehydro-3,6-dideoxymannose[0] <=> (1) NADP[0] + (1) GDP-L-colitose[0]	(1) H+[0] + (1) GDP-4-dehydro-3,6-dideoxymannose[0] + (1) NADH-P-OR-NOP[0] <=> (1) GDP-L-colitose[0] + (1) NAD-P-OR-NOP[0]	cpd00005:cpd27640;cpd00006:cpd27638	
