rn:R00001	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate
rn:R10937	alpha-D-sedoheptulopyranose-7-phosphate phosphate-lyase (cyclizing, 2-epi-5-epi-valiolone-forming); alpha-D-Sedoheptulopyranose 7-phosphate <=> 2-epi-5-epi-Valiolone + Orthophosphate
rn:R10938	L-alanyl-D-glutamate epimerase; L-Alanyl-D-glutamate <=> L-Alanyl-L-glutamate
rn:R10939	(4S)-4-hydroxy-5-phosphooxypentane-2,3-dione aldose-ketose-isomerase; (4S)-4-Hydroxy-5-phosphooxypentane-2,3-dione <=> 3-Hydroxy-5-phosphooxypentane-2,4-dione
rn:R10940	fumarate:L-2,3-diaminopropanoate ligase (AMP-forming); ATP + Fumarate + L-2,3-Diaminopropanoate <=> AMP + Diphosphate + N3-Fumaroyl-L-2,3-diaminopropanoate
rn:R10941	N(beta)-epoxysuccinamoyl-DAP:L-valine ligase (ADP-forming); ATP + N(beta)-Epoxysuccinamoyl-DAP + L-Valine <=> ADP + Orthophosphate + N(beta)-Epoxysuccinamoyl-DAP-Val
rn:R10942	3-{[(2E)-4-amino-4-oxobut-2-enoyl]amino}-L-alanine:L-valine ligase (ADP-forming); ATP + 3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanine + L-Valine <=> ADP + Orthophosphate + Dapdiamide A
rn:R10943	3-{[(2E)-4-amino-4-oxobut-2-enoyl]amino}-L-alanine:L-isoleucine ligase (ADP-forming); ATP + 3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanine + L-Isoleucine <=> ADP + Orthophosphate + Dapdiamide B
rn:R10944	3-{[(2E)-4-amino-4-oxobut-2-enoyl]amino}-L-alanine:L-leucine ligase (ADP-forming); ATP + 3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanine + L-Leucine <=> ADP + Orthophosphate + Dapdiamide C
rn:R10945	3-(methylthio)acryloyl-CoA hydratase; 3-hydroxy-3-(methylthio)propanoyl-CoA hydro-lyase; 3-(Methylthio)acryloyl-CoA + H2O <=> 3-Hydroxy-3-(methylthio)propanoyl-CoA
rn:R10946	3-hydroxy-3-(methylthio)propanoyl-CoA methanethiol-lyase; 3-Hydroxy-3-(methylthio)propanoyl-CoA <=> 3-Oxopropionyl-CoA + Methanethiol
rn:R10947	3-oxopropionyl-CoA hydrolase; 3-Oxopropionyl-CoA + H2O <=> 3-Oxopropanoate + CoA
rn:R10948	ATP:HCO3- phosphotransferase; ATP + HCO3- <=> ADP + Carboxyphosphate
rn:R10949	Ammonia + Carboxyphosphate <=> Carbamate + Orthophosphate
rn:R10950	1D-myo-Inositol 1,3,4-trisphosphate 4-phosphohydrolase; 1D-myo-Inositol 1,3,4-trisphosphate + H2O <=> D-myo-Inositol 1,3-bisphosphate + Orthophosphate
rn:R10951	ATP:1-phosphatidyl-1D-myo-inositol 5-phosphotransferase; ATP + 1-Phosphatidyl-D-myo-inositol <=> ADP + 1-Phosphatidyl-1D-myo-inositol 5-phosphate
rn:R10952	1-phosphatidyl-1D-myo-inositol-4-phosphate inositolbisphosphohydrolase; 1-Phosphatidyl-1D-myo-inositol 4-phosphate + H2O <=> 1D-myo-Inositol 1,4-bisphosphate + 1,2-Diacyl-sn-glycerol
rn:R10953	ATP:1D-myo-inositol-1,3,4,5-tetrakisphosphate 6-phosphotransferase; ATP + 1D-myo-Inositol 1,3,4,5-tetrakisphosphate <=> ADP + 1D-myo-Inositol 1,3,4,5,6-pentakisphosphate
rn:R10954	tetracenomycin-B2,NADPH:oxygen oxidoreductase (8-demethyltetracenomycin-C-forming); Tetracenomycin B2 + 2 Oxygen + H2O + 2 NADPH + 2 H+ <=> 8-Demethyltetracenomycin C + 2 NADP+ + 2 H2O
rn:R10955	dTDP-beta-L-rhamnose:8-demethyltetracenomycin-C alpha-L-rhamnosyltransferase; dTDP-L-rhamnose + 8-Demethyltetracenomycin C <=> dTDP + 8-Demethyl-8-alpha-L-rhamnosyltetracenomycin C
rn:R10956	S-adenosyl-L-methionine:8-demethyl-8-alpha-L-rhamnosyltetracenomycin-C 2'-O-methyltransferase; S-Adenosyl-L-methionine + 8-Demethyl-8-alpha-L-rhamnosyltetracenomycin C <=> S-Adenosyl-L-homocysteine + 8-Demethyl-8-(2-O-methyl-alpha-L-rhamnosyl)tetracenomycin C
rn:R10957	S-adenosyl-L-methionine:8-demethyl-8-(2-methoxy-alpha-L-rhamnosyl)tetracenomycin-C 3'-O-methyltransferase; S-Adenosyl-L-methionine + 8-Demethyl-8-(2-O-methyl-alpha-L-rhamnosyl)tetracenomycin C <=> S-Adenosyl-L-homocysteine + 8-Demethyl-8-(2,3-di-O-methyl-alpha-L-rhamnosyl)tetracenomycin C
rn:R10958	S-adenosyl-L-methionine:8-demethyl-8-(2,3-di-O-methoxy-alpha-L-rhamnosyl)tetracenomycin-C 4'-O-methyltransferase; S-Adenosyl-L-methionine + 8-Demethyl-8-(2,3-di-O-methyl-alpha-L-rhamnosyl)tetracenomycin C <=> S-Adenosyl-L-homocysteine + 8-Demethyl-8-(2,3,4-tri-O-methyl-alpha-L-rhamnosyl)tetracenomycin C
rn:R10959	S-adenosyl-L-methionine:8-demethyl-8-(2,3,4-tri-O-methyl-alpha-L-rhamnosyl)tetracenomycin-C O-methyltransferase; S-Adenosyl-L-methionine + 8-Demethyl-8-(2,3,4-tri-O-methyl-alpha-L-rhamnosyl)tetracenomycin C <=> S-Adenosyl-L-homocysteine + Elloramycin A
rn:R10960	malonyl-CoA:acetate malonyltransferase (tetracenomycin-F2-forming); 10 Malonyl-CoA <=> Tetracenomycin F2 + 10 CoA + 10 CO2 + 2 H2O
rn:R10961	Benzoyl-CoA + Reduced acceptor <=> Cyclohexa-1,5-diene-1-carbonyl-CoA + Acceptor
rn:R10962	S-adenosyl-L-methionine:3-hydroxy-5-methyl-1-naphthoate 3-O-methyltransferase; S-Adenosyl-L-methionine + 3-Hydroxy-5-methyl-1-naphthoate <=> S-Adenosyl-L-homocysteine + 3-Methoxy-5-methyl-1-naphthoate
rn:R10963	S-adenosyl-L-methionine:2,7-dihydroxy-5-methyl-1-naphthoate 7-O-methyltransferase; S-Adenosyl-L-methionine + 2,7-Dihydroxy-5-methyl-1-naphthoate <=> S-Adenosyl-L-homocysteine + 2-Hydroxy-7-methoxy-5-methyl-1-naphthoate
rn:R10964	S-adenosyl-L-methionine:L-tyrosine C3-methyltransferase; S-Adenosyl-L-methionine + L-Tyrosine <=> S-Adenosyl-L-homocysteine + 3-Methyl-L-tyrosine
rn:R10965	malonyl-CoA C-acyl transferase (1,3,6,8-tetrahydroxynaphthalene forming); 5 Malonyl-CoA <=> 1,3,6,8-Naphthalenetetrol + 5 CoA + 5 CO2 + H2O
rn:R10966	dimethylallyl-diphosphate:5,10-dihydrophenazine-1-carboxylate 9-dimethylallyltransferase; Dimethylallyl diphosphate + 5,10-Dihydrophenazine-1-carboxylate <=> Diphosphate + 9-(Dimethylallyl)-5,10-dihydrophenazine-1-carboxylate
rn:R10967	malonyl-CoA:malonyl-CoA malonyltransferase (decarboxylating, phloroglucinol-forming); 3 Malonyl-CoA <=> Phloroglucinol + 3 CoA + 3 CO2
rn:R10968	dimethylallyl-diphosphate:L-tyrosine 4-O-dimethylallyltransferase; Dimethylallyl diphosphate + L-Tyrosine <=> Diphosphate + 4-O-Dimethylallyl-L-tyrosine
rn:R10969	geranyl-diphosphate:flaviolin 3-linalyltransferase; Geranyl diphosphate + Flaviolin <=> 3-Linalylflaviolin + Diphosphate
rn:R10970	ATP:6-deoxy-6-sulfo-D-fructose 1-phosphotransferase; ATP + 6-Deoxy-6-sulfo-D-fructose <=> ADP + 6-Deoxy-6-sulfo-D-fructose 1-phosphate
rn:R10971	3'-phosphoadenylyl-sulfate:alpha,alpha-trehalose 2-sulfotransferase; 3'-Phosphoadenylyl sulfate + alpha,alpha-Trehalose <=> Adenosine 3',5'-bisphosphate + 2-Sulfotrehalose
rn:R10972	5-phospho-alpha-D-ribose 1,2-cyclic phosphate 1-phosphohydrolase (D-ribose 2,5-bisphosphate-forming); alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate + H2O <=> D-Ribose 2,5-bisphosphate
rn:R10973	D-ribose-2,5-bisphosphate 2-phosphohydrolase; D-Ribose 2,5-bisphosphate + H2O <=> D-Ribose 5-phosphate + Orthophosphate
rn:R10974	3-sulfinopropanoyl-CoA sulfinohydrolase; 3-Sulfinopropanoyl-CoA + H2O <=> Propanoyl-CoA + Sulfite
rn:R10975	6-aminohexanoate-oligomer exoamidohydrolase; [N-(6-Aminohexanoyl)]n(n) + H2O <=> [N-(6-Aminohexanoyl)]n(n-1) + 6-Aminohexanoate
rn:R10976	6-aminohexanoate-oligomer endoamidohydrolase; [N-(6-Aminohexanoyl)]n(n) + H2O <=> [N-(6-Aminohexanoyl)]n(n-x) + [N-(6-Aminohexanoyl)]n(x)
rn:R10978	6-aminohexanoate-cyclic-oligomer amidohydrolase; 6-Aminohexanoate cyclic oligomer + H2O <=> [N-(6-Aminohexanoyl)]n
rn:R10979	[N-(6-Aminohexanoyl)]n <=> N-(6-Aminohexanoyl)-6-aminohexanoate
rn:R10980	5-valerolactone lactonohydrolase; 5-Valerolactone + H2O <=> 5-Hydroxypentanoate
rn:R10981	5-hydroxypentanoate:NAD+ oxidoreductase; 5-Hydroxypentanoate + NAD+ <=> 5-Oxopentanoate + NADH + H+
rn:R10982	glutarate-semialdehyde:NADP+ oxidoreductase; 5-Oxopentanoate + NADP+ + H2O <=> Glutarate + NADPH + H+
rn:R10983	methyl-(2E,6E,10R,11S)-10,11-epoxy-7-ethyl-3,11-dimethyl-2,6-tridecadienoate acylhydrolase; Juvenile hormone I + H2O <=> Juvenile hormone I acid + Methanol
rn:R10984	L-serine:NADP+ 3-oxidoreductase; L-Serine + NADP+ <=> Aminoacetaldehyde + CO2 + NADPH + H+
rn:R10985	L-Serine + NAD+ <=> 2-Aminomalonate semialdehyde + NADH + H+
rn:R10986	L-serine:NAD+ 3-oxidoreductase; L-Serine + NAD+ <=> Aminoacetaldehyde + CO2 + NADH + H+
rn:R10987	sucrose-6F-phosphate:phosphate 1-alpha-D-glucosyltransferase; Sucrose 6'-phosphate + Orthophosphate <=> D-Glucose 1-phosphate + beta-D-Fructose 6-phosphate
rn:R10988	UDP-alpha-D-glucose:beta-D-glucosyl-crocetin beta-1,6-glucosyltransferase; UDP-glucose + beta-D-Glucosyl crocetin <=> UDP + beta-D-Gentiobiosyl crocetin
rn:R10989	UDP-alpha-D-glucose:bis(beta-D-glucosyl)-crocetin beta-1,6-glucosyltransferase; UDP-glucose + Bis(beta-D-glucosyl) crocetin <=> UDP + trans-Crocetin (beta-D-glucosyl) (beta-D-gentibiosyl) ester
rn:R10990	UDP-alpha-D-glucose:beta-D-gentiobiosyl-beta-D-glucosyl-crocetin beta-1,6-glucosyltransferase; UDP-glucose + trans-Crocetin (beta-D-glucosyl) (beta-D-gentibiosyl) ester <=> UDP + Crocin
rn:R10991	2-aminobutanoate:2-oxoglutarate aminotransferase; (S)-2-Aminobutanoate + 2-Oxoglutarate <=> 2-Oxobutanoate + L-Glutamate
rn:R10992	L-alanine:2-oxobutanoate aminotransferase; L-Alanine + 2-Oxobutanoate <=> Pyruvate + (S)-2-Aminobutanoate
rn:R10993	L-glutamate:2-aminobutanoate gamma-ligase (ADP-forming); ATP + L-Glutamate + (S)-2-Aminobutanoate <=> ADP + Orthophosphate + gamma-L-Glutamyl-L-2-aminobutyrate
rn:R10994	gamma-L-glutamyl-L-2-aminobutyrate:glycine ligase (ADP-forming); ATP + gamma-L-Glutamyl-L-2-aminobutyrate + Glycine <=> ADP + Orthophosphate + Ophthalmate
rn:R10995	L-rhamnose:NAD+ 1-oxidoreductase; L-Rhamnose + NAD+ <=> L-Rhamnono-1,4-lactone + NADH + H+
rn:R10996	2-Oxobutanoate + Thiamin diphosphate <=> 2-(alpha-Hydroxypropyl)thiamine diphosphate + CO2
rn:R10997	2-(alpha-Hydroxypropyl)thiamine diphosphate + Enzyme N6-(lipoyl)lysine <=> Enzyme N6-(S-propyldihydrolipoyl)lysine + Thiamin diphosphate
rn:R10998	propanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-propanoyltransferase; Propanoyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + Enzyme N6-(S-propyldihydrolipoyl)lysine
rn:R10999	oleoyl-CoA,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (omega-hydroxylating); Oleoyl-CoA + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 18-Hydroxyoleoyl-CoA + [Oxidized NADPH---hemoprotein reductase] + H2O
rn:R11000	linoleoyl-CoA,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (omega-hydroxylating); Linoleoyl-CoA + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 18-Hydroxylinoleoyl-CoA + [Oxidized NADPH---hemoprotein reductase] + H2O
rn:R11001	(4R)-4-hydroxysphinganine ceramide,ferrocytochrome-b5:oxygen oxidoreductase (fatty acyl 2-hydroxylating); Phytoceramide + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> (2'R)-2'-Hydroxyphytoceramide + 2 Ferricytochrome b5 + H2O
rn:R11002	1-acyl-2-oleoyl-sn-glycero-3-phosphocholine,ferrocytochrome-b5:oxygen oxidoreductase (12-hydroxylating); 1-Acyl-2-oleoyl-sn-glycero-3-phosphocholine + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> 1-Acyl-2-[(12R)-12-hydroxyoleoyl]-sn-glycero-3-phosphocholine + 2 Ferricytochrome b5 + H2O
rn:R11003	dihydroceramide,ferrocytochrome-b5:oxygen oxidoreductase (fatty acyl 2-hydroxylating); Dihydroceramide + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> (2'R)-2'-Hydroxydihydroceramide + 2 Ferricytochrome b5 + H2O
rn:R11004	(11Z)-hexadec-11-enoyl-CoA,reduced acceptor:oxygen 10,13-allylic oxidase (10E,12E-forming); (11Z)-Hexadec-11-enoyl-CoA + Reduced acceptor + Oxygen <=> (10E,12Z)-Hexadeca-10,12-dienoyl-CoA + Acceptor + 2 H2O
rn:R11005	(4E)-sphing-4-enine ceramide,ferrocytochrome b5:oxygen oxidoreductase (8,9-trans dehydrogenating); N-Acylsphingosine + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> (4E,8E)-Sphinga-4,8-dienine ceramide + 2 Ferricytochrome b5 + 2 H2O
rn:R11006	(4E,8E)-sphinga-4,8-dienine ceramide,ferrocytochrome b5:oxygen oxidoreductase (10,11-trans-dehydrogenating); (4E,8E)-Sphinga-4,8-dienine ceramide + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> (4E,8E,10E)-Sphinga-4,8,10-trienine ceramide + 2 Ferricytochrome b5 + 2 H2O
rn:R11007	cholesterol,NADH:oxygen oxidoreductase (7,8 dehydrogenating); Cholesterol + Oxygen + NADH + H+ <=> 7-Dehydrocholesterol + NAD+ + 2 H2O
rn:R11008	cholesterol,NADPH:oxygen oxidoreductase (7,8 dehydrogenating); Cholesterol + Oxygen + NADPH + H+ <=> 7-Dehydrocholesterol + NADP+ + 2 H2O
rn:R11009	(4R)-4-hydroxysphinganine ceramide,ferrocytochrome b5:oxygen oxidoreductase (8,9-trans-dehydrogenating); Phytoceramide + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> (4R,8E)-4-Hydroxysphing-8-enine ceramide + 2 Ferricytochrome b5 + 2 H2O
rn:R11010	(4R)-4-hydroxysphinganine ceramide,ferrocytochrome b5:oxygen oxidoreductase (8,9-cis-dehydrogenating); Phytoceramide + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> (4R,8Z)-4-Hydroxysphing-8-enine ceramide + 2 Ferricytochrome b5 + 2 H2O
rn:R11011	palmitoyl-CoA,ferrocytochrome b5:oxygen oxidoreductase (14,15-trans-dehydrogenating); Palmitoyl-CoA + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> (14E)-Hexadec-14-enoyl-CoA + 2 Ferricytochrome b5 + 2 H2O
rn:R11012	palmitoyl-CoA,ferrocytochrome b5:oxygen oxidoreductase (14,15-cis-dehydrogenating); Palmitoyl-CoA + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> (14Z)-Hexadec-14-enoyl-CoA + 2 Ferricytochrome b5 + 2 H2O
rn:R11013	hercynine,gamma-L-glutamyl-L-cysteine:oxygen oxidoreductase [gamma-L-glutamyl-S-(hercyn-2-yl)-L-cysteine S-oxide-forming]; Hercynine + gamma-L-Glutamyl-L-cysteine + Oxygen <=> gamma-L-Glutamyl-S-(hercyn-2-yl)-L-cysteine S-oxide + H2O
rn:R11014	hercynine,L-cysteine:oxygen [S-(hercyn-2-yl)-L-cysteine S-oxide-forming]; Hercynine + L-Cysteine + Oxygen <=> S-(Hercyn-2-yl)-L-cysteine S-oxide + H2O
rn:R11015	L-histidine,L-cysteine:oxygen [S-(L-histidin-5-yl)-L-cysteine S-oxide-forming]; L-Histidine + L-Cysteine + Oxygen <=> S-(L-Histidin-5-yl)-L-cysteine S-oxide + H2O
rn:R11016	D-Arginine + Acceptor <=> Iminoarginine + Reduced acceptor
rn:R11017	Iminoarginine + H2O <=> 5-Guanidino-2-oxopentanoate + Ammonia
rn:R11018	D-arginine:acceptor oxidoreductase (deaminating); D-Arginine + Acceptor + H2O <=> 5-Guanidino-2-oxopentanoate + Ammonia + Reduced acceptor
rn:R11019	5,6,7,8-tetrahydromonapterin:NADP+ oxidoreductase; 5,6,7,8-Tetrahydromonapterin + NADP+ <=> 7,8-Dihydromonapterin + NADPH + H+
rn:R11020	S-adenosyl-L-methionine:dTDP-4-oxo-6-deoxy-D-allose 5-C-methyltransferase; S-Adenosyl-L-methionine + dTDP-4-oxo-6-deoxy-D-allose <=> S-Adenosyl-L-homocysteine + dTDP-4-oxo-5-C-methyl-L-rhamnose
rn:R11021	S-gamma-glutamyl hercynylcysteine S-oxide amidohydrolase; gamma-L-Glutamyl-S-(hercyn-2-yl)-L-cysteine S-oxide + H2O <=> S-(Hercyn-2-yl)-L-cysteine S-oxide + L-Glutamate
rn:R11022	2-Aminomuconate semialdehyde <=> Picolinic acid + H2O
rn:R11023	S-(hercyn-2-yl)-L-cysteine-S-oxide ergothioneine-lyase (deaminating; pyruvate-forming); S-(Hercyn-2-yl)-L-cysteine S-oxide + Reduced acceptor <=> Ergothioneine + Pyruvate + Ammonia + Acceptor
rn:R11024	ATP:N-acetyl-D-muramate 1-phosphotransferase; N-Acetylmuramate + ATP <=> N-Acetylmuramic acid alpha-1-phosphate + ADP
rn:R11025	UTP:N-acetyl-alpha-D-muramate-1-phosphate uridylyltransferase; N-Acetylmuramic acid alpha-1-phosphate + UTP <=> UDP-N-acetylmuramate + Diphosphate
rn:R11026	(R)-5,6-dihydrothymine:NAD+ oxidoreductase; (R)-5,6-Dihydrothymine + NAD+ <=> Thymine + NADH + H+
rn:R11028	(S)-Methylmalonate semialdehyde <=> (R)-Methylmalonate semialdehyde
rn:R11029	2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate <=> DNA 5-hydroxymethylcytosine
rn:R11030	DNA-5-methylcytosine,2-oxoglutarate:oxygen oxidoreductase; DNA 5-methylcytosine + 2-Oxoglutarate + Oxygen <=> DNA 5-hydroxymethylcytosine + Succinate + CO2
rn:R11031	L-arginine:NAD+ oxidoreductase (deaminating); 5-Guanidino-2-oxopentanoate + NADH + H+ + Ammonia <=> L-Arginine + NAD+ + H2O
rn:R11032	L-arginine:NADP+ oxidoreductase (deaminating); 5-Guanidino-2-oxopentanoate + NADPH + H+ + Ammonia <=> L-Arginine + NADP+ + H2O
rn:R11033	L-Arginine <=> N(omega)-Hydroxyarginine
rn:R11034	dTDP-2,6-dideoxy-D-glycero-hex-2-enos-4-ulose <=> dTDP-3,4-dioxo-2,6-dideoxy-D-glucose
rn:R11035	2-dehydro-3-deoxy-L-galactonate:NAD+ 5-oxidoreductase; 2-Dehydro-3-deoxy-L-galactonate + NAD+ <=> (4S)-4,6-Dihydroxy-2,5-dioxohexanoate + NADH + H+
rn:R11036	6-deoxy-6-sulfo-D-glucopyranose:NAD+ 1-oxidoreductase; Sulfoquinovose + NAD+ <=> 6-Deoxy-6-sulfo-D-glucono-1,5-lactone + NADH + H+
rn:R11037	7,8-dihydroneopterin:oxygen oxidoreductase; 7,8-Dihydroneopterin + Oxygen <=> 7,8-Dihydroxanthopterin + Formate + Glycolaldehyde
rn:R11038	L-alanine:(5-formylfuran-3-yl)methyl-phosphate aminotransferase; (5-Formylfuran-3-yl)methyl phosphate + L-Alanine <=> [5-(Aminomethyl)furan-3-yl]methyl phosphate + Pyruvate
rn:R11039	[5-(aminomethyl)furan-3-yl]methyl phosphate kinase; [5-(Aminomethyl)furan-3-yl]methyl phosphate + ATP <=> [5-(Aminomethyl)furan-3-yl]methyl diphosphate + ADP
rn:R11040	(4-{4-[2-(gamma-L-glutamylamino)ethyl]phenoxymethyl}furan-2-yl)methanamine synthase; [5-(Aminomethyl)furan-3-yl]methyl diphosphate + gamma-Glutamyltyramine <=> (4-{4-[2-(gamma-L-Glutamylamino)ethyl]phenoxymethyl}furan-2-yl)methanamine + Diphosphate
rn:R11041	S-adenosyl-L-methionine:dTDP-4-oxo-2,6-dideoxy-L-mannose 3-O-methyltransferase; S-Adenosyl-L-methionine + dTDP-4-oxo-2,6-dideoxy-L-mannose <=> S-Adenosyl-L-homocysteine + dTDP-3-O-methyl-4-oxo-2,6-dideoxy-L-mannose
rn:R11042	dTDP-3-O-methyl-4-oxo-2,6-dideoxy-L-mannose <=> dTDP-L-oleandrose
rn:R11043	oleoyl-CoA,ferrocytochrome-b5:oxygen oxidoreductase (12,13 cis-dehydrogenating); Oleoyl-CoA + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> Linoleoyl-CoA + 2 Ferricytochrome b5 + 2 H2O
rn:R11044	palmitoleoyl-CoA,ferrocytochrome b5:oxygen oxidoreductase (12,13 cis-dehydrogenating); Palmitoleoyl-CoA + 2 Ferrocytochrome b51 + Oxygen + 2 H+ <=> (9Z,12Z)-Hexadeca-9,12-dienoyl-CoA + 2 Ferricytochrome b5 + 2 H2O
rn:R11045	S-adenosyl-L-methionine:dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose 3-N,N-dimethyltransferase; 2 S-Adenosyl-L-methionine + dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose <=> 2 S-Adenosyl-L-homocysteine + dTDP-3-N,N-dimethylamino-2,3,6-trideoxy-4-keto-D-glucose
rn:R11046	dTDP-3-N,N-dimethylamino-2,3,6-trideoxy-4-keto-D-glucose 5-epimerase; dTDP-3-N,N-dimethylamino-2,3,6-trideoxy-4-keto-D-glucose <=> dTDP-3-N,N-dimethylamino-4-oxo-2,3,6-trideoxy-L-allose
rn:R11047	dTDP-3-N,N-dimethylamino-4-oxo-2,3,6-trideoxy-L-allose <=> dTDP-L-megosamine
rn:R11048	(S)-6-Hydroxynicotine + Oxygen <=> 5-(N-Methyl-4,5-dihydro-1H-pyrrol-2-yl)pyridin-2-ol + Hydrogen peroxide
rn:R11049	5-(N-Methyl-4,5-dihydro-1H-pyrrol-2-yl)pyridin-2-ol + H2O <=> 6-Hydroxypseudooxynicotine
rn:R11050	(R)-6-Hydroxynicotine + Oxygen <=> 5-(N-Methyl-4,5-dihydro-1H-pyrrol-2-yl)pyridin-2-ol + Hydrogen peroxide
rn:R11051	dTDP-4-oxo-2,6-dideoxy-D-allose:NADP+ 3-oxidoreductase; dTDP-3,4-dioxo-2,6-dideoxy-D-glucose + NADPH + H+ <=> dTDP-4-oxo-2,6-dideoxy-D-allose + NADP+
rn:R11052	8'-apo-beta-carotenal:oxygen 13,14-dioxygenase (bond-cleaving); all-trans-8'-Apo-beta-carotenal + Oxygen <=> 13-Apo-beta-carotenone + 2,6-Dimethyldeca-2,4,6,8-tetraenedial
rn:R11053	UMP,2-oxoglutarate:oxygen oxidoreductase; UMP + 2-Oxoglutarate + Oxygen <=> 5'-Dehydrouridine + Succinate + CO2 + Orthophosphate
rn:R11054	dodecanoate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (7-hydroxylating); Dodecanoic acid + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 7-Hydroxydodecanoate + [Oxidized NADPH---hemoprotein reductase] + H2O
rn:R11055	myrcene,NADPH---hemoprotein reductase:O2 oxidoreductase (hydroxylating); Myrcene + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (R)-Ipsdienol + [Oxidized NADPH---hemoprotein reductase] + H2O
rn:R11056	salicyloyl-CoA,NADH:oxygen oxidoreductase (5-hydroxylating); 2-Hydroxybenzoyl-CoA + NADH + H+ + Oxygen <=> Gentisyl-CoA + NAD+ + H2O
rn:R11057	(11Z,14Z)-icosadienoyl-CoA,acceptor:oxygen oxidoreductase (5,6 cis-dehydrogenating); (11Z,14Z)-Icosadienoyl-CoA + Reduced acceptor + Oxygen <=> (5Z,11Z,14Z)-Icosa-5,11,14-trienoyl-CoA + Acceptor + 2 H2O
rn:R11058	(11Z,14Z,17Z)-icosatrienoyl-CoA,acceptor:oxygen oxidoreductase (5,6 cis-dehydrogenating); (11Z,14Z,17Z)-Icosatrienoyl-CoA + Reduced acceptor + Oxygen <=> (5Z,11Z,14Z,17Z)-Icosa-5,11,14,17-tetraenoyl-CoA + Acceptor + 2 H2O
rn:R11059	8,11,14-eicosatrienoyl-CoA,ferrocytochrome-b5:oxygen oxidoreductase (5,6-cis-dehydrogenating); 8,11,14-Eicosatrienoyl-CoA + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> Arachidonyl-CoA + 2 Ferricytochrome b5 + 2 H2O
rn:R11060	(8Z,11Z,14Z,17Z)-icosatetraenoyl-CoA,ferrocytochrome-b5:oxygen oxidoreductase (5,6-cis-dehydrogenating); (8Z,11Z,14Z,17Z)-Icosatetraenoyl-CoA + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> (5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA + 2 Ferricytochrome b5 + 2 H2O
rn:R11061	NADPH:demethylphylloquinone oxidoreductase; 2-Phytyl-1,4-naphthoquinone + NADPH + H+ <=> Demethylphylloquinol + NADP+
rn:R11062	phosphatidylethanolamine:phosphatidylglycerol 3-phosphatidyltransferase; Phosphatidylglycerol + Phosphatidylethanolamine <=> Cardiolipin + Ethanolamine
rn:R11063	S-methyl-L-methionine:L-homocysteine S-methyltransferase; S-Methyl-L-methionine + L-Homocysteine <=> 2 L-Methionine
rn:R11064	L-alanine:L-anticapsin ligase (ADP-forming); L-Anticapsin + L-Alanine + ATP <=> Bacilysin + Orthophosphate + ADP
rn:R11065	3-[(4R)-4-hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate isomerase; 3-[(4R)-4-Hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate <=> 3-[(1E,4R)-4-Hydroxycyclohex-2-en-1-ylidene]-2-oxopropanoate
rn:R11066	3-[(1E,4R)-4-Hydroxycyclohex-2-en-1-ylidene]-2-oxopropanoate <=> (3E)-3-[(1R,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-ylidene]-2-oxopropanoate
rn:R11067	(3E)-3-[(1R,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-ylidene]-2-oxopropanoate + NADH + H+ <=> 3-[(1R,2S,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-yl]-2-oxopropanoate + NAD+
