Class	Sub-class	Name	Role	Reaction
Protein Metabolism	Protein processing and modification	Ribosomal_protein_S5p_acylation	Spermidine N1-acetyltransferase (EC 2.3.1.57)	rxn09264
Protein Metabolism	Protein processing and modification	Ribosomal_protein_S5p_acylation	Spermidine N1-acetyltransferase (EC 2.3.1.57)	rxn09265
Protein Metabolism	Secretion	General_secretory_pathway_(Sec-SRP)_complex_(TC_3.A.5.1.1)	Ribonuclease P protein component (EC 3.1.26.5)	rxn13784
Protein Metabolism	Selenoproteins	Glycine_reductase,_sarcosine_reductase_and_betaine_reductase	Thioredoxin	rxn09296
Protein Metabolism	Selenoproteins	Glycine_reductase,_sarcosine_reductase_and_betaine_reductase	Thioredoxin reductase (EC 1.8.1.9)	rxn05289
Protein Metabolism	Selenoproteins	Selenocysteine_metabolism	Selenide,water dikinase (EC 2.7.9.3)	rxn02569
Protein Metabolism	Selenoproteins	Selenocysteine_metabolism	Seryl-tRNA synthetase (EC 6.1.1.11)	rxn13782
RNA Metabolism	RNA processing and modification	Queuosine-Archaeosine_Biosynthesis	Dihydroneopterin triphosphate pyrophosphohydolase	rxn03168
RNA Metabolism	RNA processing and modification	Queuosine-Archaeosine_Biosynthesis	Dihydroneopterin triphosphate pyrophosphohydolase	rxn03173
RNA Metabolism	RNA processing and modification	Queuosine-Archaeosine_Biosynthesis	Dihydroneopterin triphosphate pyrophosphohydolase type 2	rxn03173
RNA Metabolism	RNA processing and modification	Queuosine-Archaeosine_Biosynthesis	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn00299
RNA Metabolism	RNA processing and modification	Queuosine-Archaeosine_Biosynthesis	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn00302
RNA Metabolism	RNA processing and modification	Queuosine-Archaeosine_Biosynthesis	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn03174
RNA Metabolism	RNA processing and modification	Queuosine-Archaeosine_Biosynthesis	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn03419
RNA Metabolism	RNA processing and modification	Queuosine-Archaeosine_Biosynthesis	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn03421
RNA Metabolism	RNA processing and modification	Queuosine-Archaeosine_Biosynthesis	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn00299
RNA Metabolism	RNA processing and modification	Queuosine-Archaeosine_Biosynthesis	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn00302
RNA Metabolism	RNA processing and modification	Queuosine-Archaeosine_Biosynthesis	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn03174
RNA Metabolism	RNA processing and modification	Queuosine-Archaeosine_Biosynthesis	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn03419
RNA Metabolism	RNA processing and modification	Queuosine-Archaeosine_Biosynthesis	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn03421
RNA Metabolism	RNA processing and modification	RNA_processing_and_degradation,_bacterial	Ribonuclease III (EC 3.1.26.3)	rxn13784
RNA Metabolism	RNA processing and modification	Wyeosine-MimG_Biosynthesis	Thioredoxin reductase (EC 1.8.1.9)	rxn05289
RNA Metabolism	RNA processing and modification	Wyeosine-MimG_Biosynthesis	tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)	rxn13784
RNA Metabolism	RNA processing and modification	eukaryotic_rRNA_modification_and_related_functions	Succinyl-CoA:3-ketoacid-coenzyme A transferase subunit A (EC 2.8.3.5)	rxn00290
RNA Metabolism	RNA processing and modification	eukaryotic_rRNA_modification_and_related_functions	Ubiquinol-cytochrome-c reductase complex core protein 2, mitochondrial precursor (EC 1.10.2.2)	rxn10113
RNA Metabolism	RNA processing and modification	eukaryotic_rRNA_modification_and_related_functions	Ubiquinol-cytochrome-c reductase complex core protein 2, mitochondrial precursor (EC 1.10.2.2)	rxn10806
RNA Metabolism	RNA processing and modification	mcm5s2U_biosynthesis_in_tRNA	Cysteine desulfurase (EC 2.8.1.7)	rxn09310
RNA Metabolism	RNA processing and modification	mnm5U34_biosynthesis_bacteria	Cysteine desulfurase (EC 2.8.1.7)	rxn09310
RNA Metabolism	RNA processing and modification	mnm5U34_biosynthesis_bacteria	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61)	rxn13784
RNA Metabolism	RNA processing and modification	rRNA_modification_Bacteria	Ribosomal large subunit pseudouridine synthase A (EC 4.2.1.70)	rxn00776
RNA Metabolism	RNA processing and modification	rRNA_modification_Bacteria	Ribosomal large subunit pseudouridine synthase B (EC 4.2.1.70)	rxn00776
RNA Metabolism	RNA processing and modification	rRNA_modification_Bacteria	Ribosomal large subunit pseudouridine synthase C (EC 4.2.1.70)	rxn00776
RNA Metabolism	RNA processing and modification	rRNA_modification_Bacteria	Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)	rxn00776
RNA Metabolism	RNA processing and modification	rRNA_modification_Bacteria	Ribosomal large subunit pseudouridine synthase E (EC 5.4.99.-)	rxn00776
RNA Metabolism	RNA processing and modification	rRNA_modification_Bacteria	Ribosomal small subunit pseudouridine synthase A (EC 4.2.1.70)	rxn00776
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea	Asparaginyl-tRNA synthetase (EC 6.1.1.22)	rxn13782
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea	Cysteine desulfurase (EC 2.8.1.7)	rxn09310
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea	Thiamine biosynthesis protein thiI	rxn09310
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea	tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)	rxn13784
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea	tRNA pseudouridine synthase A (EC 4.2.1.70)	rxn00776
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea_Henri	6-pyruvoyl tetrahydrobiopterin synthase (EC 4.2.3.12)	rxn02986
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea_Henri	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn00299
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea_Henri	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn00302
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea_Henri	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn03174
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea_Henri	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn03419
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea_Henri	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn03421
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea_Henri	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn00299
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea_Henri	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn00302
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea_Henri	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn03174
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea_Henri	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn03419
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea_Henri	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn03421
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea_Henri	Pyrimidine deaminase archaeal predicted (EC 3.5.4.26)	rxn02475
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea_Henri	tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)	rxn13784
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea_Henri	tRNA pseudouridine synthase A (EC 4.2.1.70)	rxn00776
RNA Metabolism	RNA processing and modification	tRNA_modification_Bacteria	Cysteine desulfurase (EC 2.8.1.7)	rxn09310
RNA Metabolism	RNA processing and modification	tRNA_modification_Bacteria	Cytidine deaminase (EC 3.5.4.5)	rxn01368
RNA Metabolism	RNA processing and modification	tRNA_modification_Bacteria	Cytidine deaminase (EC 3.5.4.5)	rxn01800
RNA Metabolism	RNA processing and modification	tRNA_modification_Bacteria	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn00299
RNA Metabolism	RNA processing and modification	tRNA_modification_Bacteria	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn00302
RNA Metabolism	RNA processing and modification	tRNA_modification_Bacteria	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn03174
RNA Metabolism	RNA processing and modification	tRNA_modification_Bacteria	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn03419
RNA Metabolism	RNA processing and modification	tRNA_modification_Bacteria	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn03421
RNA Metabolism	RNA processing and modification	tRNA_modification_Bacteria	Ribosomal large subunit pseudouridine synthase A (EC 4.2.1.70)	rxn00776
RNA Metabolism	RNA processing and modification	tRNA_modification_Bacteria	Selenide,water dikinase (EC 2.7.9.3)	rxn02569
RNA Metabolism	RNA processing and modification	tRNA_modification_Bacteria	Thiamine biosynthesis protein thiI	rxn09310
RNA Metabolism	RNA processing and modification	tRNA_modification_Bacteria	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61)	rxn13784
RNA Metabolism	RNA processing and modification	tRNA_modification_Bacteria	tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)	rxn13784
RNA Metabolism	RNA processing and modification	tRNA_modification_Bacteria	tRNA (cytosine34-2'-O-)-methyltransferase (EC 2.1.1.-)	rxn13784
RNA Metabolism	RNA processing and modification	tRNA_modification_Bacteria	tRNA pseudouridine synthase A (EC 4.2.1.70)	rxn00776
RNA Metabolism	RNA processing and modification	tRNA_modification_Bacteria	tRNA pseudouridine synthase B (EC 4.2.1.70)	rxn00776
RNA Metabolism	RNA processing and modification	tRNA_modification_Bacteria	tRNA(Ile)-lysidine synthetase	rxn13782
RNA Metabolism	RNA processing and modification	tRNA_modification_yeast_cytoplasmic	Cysteine desulfurase (EC 2.8.1.7)	rxn09310
RNA Metabolism	RNA processing and modification	tRNA_modification_yeast_cytoplasmic	tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)	rxn13784
RNA Metabolism	RNA processing and modification	tRNA_modification_yeast_cytoplasmic	tRNA pseudouridine synthase A (EC 4.2.1.70)	rxn00776
RNA Metabolism	RNA processing and modification	tRNA_modification_yeast_mitochondrial	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61)	rxn13784
RNA Metabolism	RNA processing and modification	tRNA_modification_yeast_mitochondrial	tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)	rxn13784
RNA Metabolism	RNA processing and modification	tRNA_modification_yeast_mitochondrial	tRNA pseudouridine synthase A (EC 4.2.1.70)	rxn00776
RNA Metabolism	RNA processing and modification	tRNA_processing	Ribonuclease P protein component (EC 3.1.26.5)	rxn13784
RNA Metabolism	RNA processing and modification	tRNA_processing	tRNA pseudouridine synthase A (EC 4.2.1.70)	rxn00776
RNA Metabolism	RNA processing and modification	tRNA_processing	tRNA(Ile)-lysidine synthetase	rxn13782
RNA Metabolism	Transcription	RNA_polymerase_bacterial	DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)	rxn13784
RNA Metabolism	Transcription	RNA_polymerase_bacterial	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)	rxn13784
RNA Metabolism	Transcription	RNA_polymerase_bacterial	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)	rxn13784
RNA Metabolism	Transcription	Transcription_factors_bacterial	Transcription termination protein NusA	rxn13784
RNA Metabolism	Transcription	Transcription_factors_cyanobacterial_RpoD-like_sigma_factors	RNA polymerase sigma factor RpoD	rxn13784
RNA Metabolism	Transcription	Transcription_initiation,_bacterial_sigma_factors	RNA polymerase sigma factor RpoD	rxn13784
Regulation and Cell signaling	-	HPr_catabolite_repression_system	Inorganic pyrophospatase PpaX	rxn00001
Regulation and Cell signaling	-	HPr_catabolite_repression_system	Phosphocarrier protein of PTS system	rxn02005
Regulation and Cell signaling	-	HPr_catabolite_repression_system	Phosphocarrier protein of PTS system	rxn05226
Regulation and Cell signaling	-	HPr_catabolite_repression_system	Phosphocarrier protein of PTS system	rxn05485
Regulation and Cell signaling	-	HPr_catabolite_repression_system	Phosphocarrier protein of PTS system	rxn05501
Regulation and Cell signaling	-	HPr_catabolite_repression_system	Phosphocarrier protein of PTS system	rxn05560
Regulation and Cell signaling	-	HPr_catabolite_repression_system	Phosphocarrier protein of PTS system	rxn05567
Regulation and Cell signaling	-	HPr_catabolite_repression_system	Phosphocarrier protein of PTS system	rxn05569
Regulation and Cell signaling	-	HPr_catabolite_repression_system	Phosphocarrier protein of PTS system	rxn05607
Regulation and Cell signaling	-	HPr_catabolite_repression_system	Phosphocarrier protein of PTS system	rxn05610
Regulation and Cell signaling	-	HPr_catabolite_repression_system	Phosphocarrier protein of PTS system	rxn05617
Regulation and Cell signaling	-	HPr_catabolite_repression_system	Phosphocarrier protein of PTS system	rxn05647
Regulation and Cell signaling	-	HPr_catabolite_repression_system	Phosphocarrier protein of PTS system	rxn05655
Regulation and Cell signaling	-	HPr_catabolite_repression_system	Phosphocarrier protein of PTS system	rxn10184
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Heptaprenyl diphosphate synthase component I (EC 2.5.1.30)	rxn01486
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Heptaprenyl diphosphate synthase component I (EC 2.5.1.30)	rxn03891
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Heptaprenyl diphosphate synthase component I (EC 2.5.1.30)	rxn03892
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Heptaprenyl diphosphate synthase component I (EC 2.5.1.30)	rxn05287
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Heptaprenyl diphosphate synthase component II (EC 2.5.1.30)	rxn01486
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Heptaprenyl diphosphate synthase component II (EC 2.5.1.30)	rxn03891
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Heptaprenyl diphosphate synthase component II (EC 2.5.1.30)	rxn03892
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Heptaprenyl diphosphate synthase component II (EC 2.5.1.30)	rxn05287
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	rxn05533
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	rxn05534
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	rxn05535
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	rxn05536
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	rxn05537
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	rxn05538
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	rxn05539
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	rxn05540
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	rxn05541
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	rxn05542
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	rxn05543
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	rxn05544
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	rxn05545
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	rxn05546
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	rxn05547
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	rxn12848
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	rxn12849
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	rxn12850
Regulation and Cell signaling	-	Sex_pheromones_in_Enterococcus_faecalis_and_other_Firmicutes	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein oppA (TC 3.A.1.5.1)	rxn12851
Regulation and Cell signaling	-	Stringent_Response,_(p)ppGpp_metabolism	Adenine phosphoribosyltransferase (EC 2.4.2.7)	rxn00139
Regulation and Cell signaling	-	Stringent_Response,_(p)ppGpp_metabolism	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I	rxn00303
Regulation and Cell signaling	-	Stringent_Response,_(p)ppGpp_metabolism	GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II	rxn00303
Regulation and Cell signaling	-	Stringent_Response,_(p)ppGpp_metabolism	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2)	rxn00242
Regulation and Cell signaling	-	Stringent_Response,_(p)ppGpp_metabolism	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase (EC 3.6.1.40)	rxn02449
Regulation and Cell signaling	-	Stringent_Response,_(p)ppGpp_metabolism	Histidyl-tRNA synthetase (EC 6.1.1.21)	rxn13782
Regulation and Cell signaling	-	Zinc_regulated_enzymes	Carbonic anhydrase (EC 4.2.1.1)	rxn00102
Regulation and Cell signaling	-	Zinc_regulated_enzymes	Dihydroorotase (EC 3.5.2.3)	rxn01465
Regulation and Cell signaling	-	Zinc_regulated_enzymes	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn00299
Regulation and Cell signaling	-	Zinc_regulated_enzymes	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn00302
Regulation and Cell signaling	-	Zinc_regulated_enzymes	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn03174
Regulation and Cell signaling	-	Zinc_regulated_enzymes	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn03419
Regulation and Cell signaling	-	Zinc_regulated_enzymes	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn03421
Regulation and Cell signaling	-	Zinc_regulated_enzymes	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn00299
Regulation and Cell signaling	-	Zinc_regulated_enzymes	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn00302
Regulation and Cell signaling	-	Zinc_regulated_enzymes	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn03174
Regulation and Cell signaling	-	Zinc_regulated_enzymes	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn03419
Regulation and Cell signaling	-	Zinc_regulated_enzymes	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn03421
Regulation and Cell signaling	-	Zinc_regulated_enzymes	Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)	rxn02834
Regulation and Cell signaling	-	Zinc_regulated_enzymes	Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)	rxn02835
Regulation and Cell signaling	-	Zinc_regulated_enzymes	Porphobilinogen synthase (EC 4.2.1.24)	rxn00029
Regulation and Cell signaling	-	cAMP_signaling_in_bacteria	Adenine phosphoribosyltransferase (EC 2.4.2.7)	rxn00139
Regulation and Cell signaling	-	cAMP_signaling_in_bacteria	Adenylate cyclase (EC 4.6.1.1)	rxn00065
Regulation and Cell signaling	-	cAMP_signaling_in_bacteria	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	rxn12822
Regulation and Cell signaling	-	cAMP_signaling_in_bacteria	Nicotinamidase (EC 3.5.1.19)	rxn00938
Regulation and Cell signaling	-	cAMP_signaling_in_bacteria	Probable glutamate/gamma-aminobutyrate antiporter	rxn10136
Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Murein_hydrolase_regulation_and_cell_death	Acetolactate synthase, catabolic (EC 2.2.1.6)	rxn00011
Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Murein_hydrolase_regulation_and_cell_death	Acetolactate synthase, catabolic (EC 2.2.1.6)	rxn02185
Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Murein_hydrolase_regulation_and_cell_death	Alpha-acetolactate decarboxylase (EC 4.1.1.5)	rxn02113
Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Murein_hydrolase_regulation_and_cell_death	Cytidine deaminase (EC 3.5.4.5)	rxn01368
Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Murein_hydrolase_regulation_and_cell_death	Cytidine deaminase (EC 3.5.4.5)	rxn01800
Regulation and Cell signaling	Programmed Cell Death and Toxin-antitoxin Systems	Murein_hydrolase_regulation_and_cell_death	Pyruvate oxidase, CidC	rxn09167
Respiration	-	Biogenesis_of_c-type_cytochromes	Aconitate hydratase (EC 4.2.1.3)	rxn00973
Respiration	-	Biogenesis_of_c-type_cytochromes	Aconitate hydratase (EC 4.2.1.3)	rxn00974
Respiration	-	Biogenesis_of_c-type_cytochromes	Aconitate hydratase (EC 4.2.1.3)	rxn01388
Respiration	-	Biogenesis_of_c-type_cytochromes	Citrate synthase (si) (EC 2.3.3.1)	rxn00256
Respiration	-	Biogenesis_of_c-type_cytochromes	Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)	rxn06526
Respiration	-	Biogenesis_of_c-type_cytochromes	Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)	rxn00224
Respiration	-	Biogenesis_of_cbb3-type_cytochrome_c_oxidases	Cytochrome c oxidase subunit CcoN (EC 1.9.3.1)	rxn00058
Respiration	-	Biogenesis_of_cbb3-type_cytochrome_c_oxidases	Cytochrome c oxidase subunit CcoO (EC 1.9.3.1)	rxn00058
Respiration	-	Biogenesis_of_cbb3-type_cytochrome_c_oxidases	Cytochrome c oxidase subunit CcoP (EC 1.9.3.1)	rxn00058
Respiration	-	Biogenesis_of_cbb3-type_cytochrome_c_oxidases	Cytochrome c oxidase subunit CcoQ (EC 1.9.3.1)	rxn00058
Respiration	-	Biogenesis_of_cytochrome_c_oxidases	Ferredoxin--NADP(+) reductase (EC 1.18.1.2)	rxn05937
Respiration	-	Biogenesis_of_cytochrome_c_oxidases	Heme O synthase, protoheme IX farnesyltransferase (EC 2.5.1.-) COX10-CtaB	rxn08707
Respiration	-	Carbon_monoxide_induced_hydrogenase	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)	rxn00693
Respiration	-	Formate_hydrogenase	Formate dehydrogenase N alpha subunit (EC 1.2.1.2)	rxn00371
Respiration	-	Formate_hydrogenase	Formate dehydrogenase N alpha subunit (EC 1.2.1.2)	rxn10114
Respiration	-	Formate_hydrogenase	Formate dehydrogenase N beta subunit (EC 1.2.1.2)	rxn00371
Respiration	-	Formate_hydrogenase	Formate dehydrogenase N beta subunit (EC 1.2.1.2)	rxn10114
Respiration	-	Formate_hydrogenase	Formate dehydrogenase N gamma subunit (EC 1.2.1.2)	rxn00371
Respiration	-	Formate_hydrogenase	Formate dehydrogenase N gamma subunit (EC 1.2.1.2)	rxn10114
Respiration	-	Formate_hydrogenase	Formate dehydrogenase O alpha subunit (EC 1.2.1.2)	rxn00371
Respiration	-	Formate_hydrogenase	Formate dehydrogenase O alpha subunit (EC 1.2.1.2)	rxn10114
Respiration	-	Formate_hydrogenase	Formate dehydrogenase O beta subunit (EC 1.2.1.2)	rxn00371
Respiration	-	Formate_hydrogenase	Formate dehydrogenase O beta subunit (EC 1.2.1.2)	rxn10114
Respiration	-	Formate_hydrogenase	Formate dehydrogenase O gamma subunit (EC 1.2.1.2)	rxn00371
Respiration	-	Formate_hydrogenase	Formate dehydrogenase O gamma subunit (EC 1.2.1.2)	rxn10114
Respiration	-	Formate_hydrogenase	Formate dehydrogenase chain D (EC 1.2.1.2)	rxn00371
Respiration	-	Formate_hydrogenase	Formate dehydrogenase related protein	rxn00371
Respiration	-	Formate_hydrogenase	Formate efflux transporter (TC 2.A.44 family)	rxn05559
Respiration	-	Formate_hydrogenase	Formate hydrogenlyase subunit 2	rxn10118
Respiration	-	Formate_hydrogenase	Formate hydrogenlyase subunit 3	rxn10118
Respiration	-	Formate_hydrogenase	Formate hydrogenlyase subunit 4	rxn10118
Respiration	-	Formate_hydrogenase	Formate hydrogenlyase subunit 5	rxn10118
Respiration	-	Formate_hydrogenase	Formate hydrogenlyase subunit 6	rxn10118
Respiration	-	Formate_hydrogenase	Formate hydrogenlyase subunit 7	rxn10118
Respiration	-	Formate_hydrogenase	NAD-dependent formate dehydrogenase (EC 1.2.1.2)	rxn00371
Respiration	-	Formate_hydrogenase	Putative formate dehydrogenase oxidoreductase protein	rxn00371
Respiration	-	Formate_hydrogenase	Pyruvate formate-lyase (EC 2.3.1.54)	rxn00157
Respiration	-	Formate_hydrogenase	Pyruvate formate-lyase (EC 2.3.1.54)	rxn04794
Respiration	-	Formate_hydrogenase	Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)	rxn00157
Respiration	-	Soluble_cytochromes_and_functionally_related_electron_carriers	Cytochrome c552 precursor (EC 1.7.2.2)	rxn03978
Respiration	ATP synthases	F0F1-type_ATP_synthase	ATP synthase A chain (EC 3.6.3.14)	rxn10042
Respiration	ATP synthases	F0F1-type_ATP_synthase	ATP synthase B chain (EC 3.6.3.14)	rxn10042
Respiration	ATP synthases	F0F1-type_ATP_synthase	ATP synthase C chain (EC 3.6.3.14)	rxn10042
Respiration	ATP synthases	F0F1-type_ATP_synthase	ATP synthase alpha chain (EC 3.6.3.14)	rxn10042
